uniprotkb	uniprotkb	proteinName	proteinName	PubmedID	Evidence
P04637	P68400	TP53	CSNK2A1	10747897	PINA
P04637	P29320	TP53	EPHA3	15355990	PINA
Q53FA7	Q8IWV7	TP53I3	UBR1	16169070	PINA
P04637	Q13043	TP53	STK4	12384512	PINA
P04637	Q13098	TP53	GPS1	11285227	PINA
O75569	P04637	PRKRA	TP53	9010216	PINA
P04637	Q9GZV1	TP53	ANKRD2	15136035	PINA
P01241	P56537	GH1	EIF6	17353931	PINA
P68431	Q12888	HIST1H3A	TP53BP1	16415788	PINA
P00390	P06400	GSR	RB1	20195357	PINA
P01241	Q01105	GH1	SET	17353931	PINA
O60675	P04637	MAFK	TP53	19011633	PINA
O95365	P04637	ZBTB7A	TP53	19244234	PINA
Q13625	Q7Z574	TP53BP2	YAP1	11278422	PINA
P04637	Q13227	TP53	GPS2	11486030	PINA
P01241	Q9NR30	GH1	DDX21	17353931	PINA
P04637	Q13190	TP53	STX5	16169070	PINA
P04637	Q13155	TP53	AIMP2	18695251	PINA
P04637	P38398	TP53	BRCA1	9482880, 14636569, 9582019, 9926942, 14710355	PINA
P20936	Q96QZ7	RASA1	MAGI1	9169421	PINA
P01241	P60981	GH1	DSTN	17353931	PINA
P04637	P20023	TP53	CR2	7753047	PINA
P63167	Q12888	DYNLL1	TP53BP1	15611139	PINA
Q07817	Q13625	BCL2L1	TP53BP2	10.1073/pnas.0711269105, 18719108	PINA
P04637	P20042	TP53	EIF2S2	16169070	PINA
P04637	P08238	TP53	HSP90AB1	11707401	PINA
P04637	Q13330	TP53	MTA1	12920132, 17914590, 20071335	PINA
P04637	Q13315	TP53	ATM	19015526, 10864201, 17409407, 9765199, 9843217, 15064416, 15632067, 10608806, 15159397	PINA
P04637	Q13362	TP53	PPP2R5C	17245430	PINA
P04637	P45983	TP53	MAPK8	15580310, 15538975, 9393873, 9732264	PINA
P04637	P45984	TP53	MAPK9	9393873, 12384512	PINA
P04637	Q2KN33	TP53	RCHY1	20452352	PINA
P04637	P29965	TP53	CD40LG	12011072	PINA
P04637	P08107	TP53	HSPA1A	7811761, 17184779	PINA
P04637	P52292	TP53	KPNA2	10930427	PINA
P63000	Q96QZ7	RAC1	MAGI1	20936779	PINA
P54132	Q12888	BLM	TP53BP1	15364958	PINA
P01241	P10912	GH1	GHR	8943276, 7862673, 17500058, 9571026, 9353194	PINA
O43257	Q12888	ZNHIT1	TP53BP1	17380123	PINA
P21673	Q9Y2A0	SAT1	TP53TG1	16169070	PINA
P04637	Q13625	TP53	TP53BP2	8875926, 8016121, 18275817, 8668206	PINA
P04637	P17028	TP53	ZNF24	16169070	PINA
P04637	Q13569	TP53	TDG	10961991	PINA
P04637	Q13547	TP53	HDAC1	16959611, 10.1038/emboj.2009.395, 18765668, 14976551, 16697957, 10777477, 11099047, 16107876, 10521394, 17827154, 19011633, 11313951, 12426395	PINA
P01241	Q01469	GH1	FABP5	17353931	PINA
P04637	Q13535	TP53	ATR	16293623, 9765199, 10608806, 15159397	PINA
P04637	Q13526	TP53	PIN1	12397362, 12397361, 12388558	PINA
P04637	Q9BYW2	TP53	SETD2	18585004	PINA
P04637	Q9HCK8	TP53	CHD8	19151705	PINA
P04637	P17252	TP53	PRKCA	9935181	PINA
P01241	P26368	GH1	U2AF2	17353931	PINA
P04637	Q00987	TP53	MDM2	19098711, 18632619, 17139261, 18566590, 15144954, 17875722, 12915590, 10078201, 11562347, 18382127, 17470788, 11709713, 12620407, 14671306, 7686617, 18485870, 21454483, 11925449, 12612087, 15308643, 15848166, 15542844, 16212962, 19166840, 16579792, 16964247, 11178989, 7926727, 18309296, 17268548, 11384992, 19255450, 20708156, 14612427, 17525743, 14702041, 12426395, 14704432, 15122315, 18665269, 17159902, 17347673, 20591429, 16107876, 10722742, 17098746, 14596917, 10196247, 17936559, 11431470, 15154850, 15295102, 19223463, 16547496, 18332869, 18172499, 16866370, 12167711, 15908921, 16857591, 15064742, 17908790, 19085961, 9809062, 10892746, 12208736, 19071110, 10766163, 9271120, 17369817, 16624812, 15210108, 19303885, 12944468, 11744695, 16023600, 9529249, 16432196, 10608892, 17591690, 18223694, 19411066, 15933712, 8875929, 17380154, 17363365, 11713288, 19188367, 7935455, 17310983, 18952844	PINA
P04637	Q9BZG8	TP53	DPH1	20308539	PINA
P04637	P29590	TP53	PML	12915590, 11025664, 11704853, 11080164, 14976551	PINA
P04637	Q9BZE4	TP53	GTPBP4	20308539	PINA
P04637	Q13746	TP53	Q13746	16169070	PINA
P01241	Q9NZ23	GH1	YA61	17353931	PINA
O75190	P04637	DNAJB6	TP53	20308539	PINA
P04637	P08047	TP53	SP1	15710382, 8463313, 9492043, 15674334, 18765668, 12665570, 16740634	PINA
O00255	P04637	MEN1	TP53	15960975	PINA
P01241	P30084	GH1	ECHS1	17353931	PINA
P04637	Q9HBM6	TP53	TAF9B	7761466	PINA
Q12888	Q8N2W9	TP53BP1	PIAS4	20016603	PINA
P04637	Q13972	TP53	RASGRF1	16753148	PINA
P04637	P11274	TP53	BCR	16169070	PINA
P01241	Q9HB71	GH1	CACYBP	17353931	PINA
P01241	P11177	GH1	PDHB	17353931	PINA
P04637	P50454	TP53	SERPINH1	17977830	PINA
P04637	P50453	TP53	SERPINB9	16169070	PINA
P04637	P11142	TP53	HSPA8	11297531	PINA
P04637	P43356	TP53	MAGEA2	16847267	PINA
P04637	P11021	TP53	HSPA5	17184779	PINA
P04150	P04637	NR3C1	TP53	11080152, 11562347	PINA
O75493	P04637	CA11	TP53	18382127	PINA
P04637	Q00005	TP53	PPP2R2B	17245430	PINA
Q12888	Q8IYW5	TP53BP1	RNF168	20016603	PINA
P04637	Q2M296	TP53	MTHFSD	20308539	PINA
P04637	P50750	TP53	CDK9	16552184	PINA
P04637	Q00688	TP53	FKBP3	19166840	PINA
P04637	P46777	TP53	RPL5	7935455, 15308643	PINA
P04637	P46736	TP53	BRCC3	14636569	PINA
P46937	Q13625	YAP1	TP53BP2	11278422	PINA
P04637	P43246	TP53	MSH2	12101417, 15064730	PINA
P04637	P05109	TP53	S100A8	16169070	PINA
P04637	Q00535	TP53	CDK5	11483158, 17591690	PINA
P04271	P04637	S100B	TP53	20591429, 15178678, 11527429	PINA
P04637	Q66K89	TP53	E4F1	10644996, 12446718	PINA
P01241	P17980	GH1	PSMC3	17353931	PINA
P04637	P50613	TP53	CDK7	9372954, 9840937	PINA
P19838	Q12888	NFKB1	TP53BP1	10646849	PINA
P10415	Q9HCN2	BCL2	TP53AIP1	12019168	PINA
P04637	P63104	TP53	YWHAZ	16376338, 9620776	PINA
P21246	Q13625	PTN	TP53BP2	16169070	PINA
P01241	Q75MH1	GH1	RPS26	17353931	PINA
P07947	Q13625	YES1	TP53BP2	11278422	PINA
P23508	Q96S44	MCC	TP53RK	17353931	PINA
P04637	Q16363	TP53	LAMA4	16169070	PINA
P04637	P05549	TP53	TFAP2A	12226108	PINA
P04637	P63162	TP53	SNRPN	16169070	PINA
P04637	P63165	TP53	SUMO1	15931224, 12917636, 16732283, 11867732, 18583933, 10961991, 17369817	PINA
O15297	P04637	PPM1D	TP53	17936559	PINA
P04637	P63151	TP53	PPP2R2A	17245430	PINA
P04637	P11766	TP53	ADH5	20308539	PINA
P04637	P09936	TP53	UCHL1	18666234	PINA
P04637	P63279	TP53	UBE2I	15327968, 11853669, 8921390, 10961991, 10380882, 18624398	PINA
Q13137	Q5JZ02	CALCOCO2	TP53RK	16189514	PINA
P01241	P09960	GH1	LTA4H	17353931	PINA
O95863	P04637	SNAI1	TP53	20385133	PINA
P01241	P11586	GH1	MTHFD1	17353931	PINA
P04637	P04731	TP53	MT1A	16442532	PINA
P04637	P11473	TP53	VDR	20227041	PINA
Q12888	Q8NEM0	TP53BP1	MCPH1	16872911	PINA
P04637	P04792	TP53	HSPB1	16169070, 17184779	PINA
P04637	P11388	TP53	TOP2A	10666337	PINA
P04637	P11387	TP53	TOP1	10468612, 11805286	PINA
P01241	P41091	GH1	EIF2S3	17353931	PINA
P04637	P28482	TP53	MAPK1	11409876, 10958792	PINA
P04637	Q8NF64	TP53	ZMIZ2	17584785	PINA
P04637	P30419	TP53	NMT1	16530191	PINA
P01241	Q02413	GH1	DSG1	17353931	PINA
P38398	Q12888	BRCA1	TP53BP1	12364621, 17525332, 18001824	PINA
P01241	P35998	GH1	PSMC2	17353931	PINA
P04637	P38936	TP53	CDKN1A	11896572, 16616141, 17139261	PINA
Q4VCS5	Q96QZ7	AMOT	MAGI1	16043488	PINA
P04637	P30307	TP53	CDC25C	10853038	PINA
P04637	P62829	TP53	RPL23	15308643	PINA
P04637	Q9UBE0	TP53	SAE1	15327968	PINA
P04637	P55774	TP53	CCL18	16169070	PINA
P04637	P30153	TP53	PPP2R1A	17245430	PINA
P04637	Q9UBW8	TP53	COPS7A	11285227	PINA
P08887	Q96QZ7	IL6R	MAGI1	9169421	PINA
P00505	P01241	GOT2	GH1	17353931	PINA
P04637	P28360	TP53	MSX1	15705871	PINA
O60739	Q12888	EIF1B	TP53BP1	17353931	PINA
O60333	Q96QZ7	KIF1B	MAGI1	12097473	PINA
Q13432	Q53FA7	UNC119	TP53I3	16169070	PINA
P04637	P62258	TP53	YWHAE	18812399	PINA
P04637	Q16665	TP53	HIF1A	10640274, 12606552, 9537326, 12124396	PINA
P04637	Q16666	TP53	IFI16	11146555	PINA
P04637	Q16611	TP53	BAK1	15077116	PINA
O94864	P04637	SUPT7L	TP53	18250150	PINA
O15126	P04637	SCAMP1	TP53	16713569	PINA
P04637	Q8NA92	TP53	THAP8	16169070	PINA
P04637	P09874	TP53	PARP1	9312059, 15044383, 9565608, 14627987, 12898523	PINA
P04637	P09884	TP53	POLA1	11917009	PINA
Q09472	Q12888	EP300	TP53BP1	16051665	PINA
P01241	Q9UNM6	GH1	PSMD13	17353931	PINA
P04150	Q12888	NR3C1	TP53BP1	11320256	PINA
P04637	P62136	TP53	PPP1CA	15231748	PINA
Q13137	Q96S44	CALCOCO2	TP53RK	16189514	PINA
P04637	Q16594	TP53	TAF9	7761466, 7809597	PINA
P04637	P09429	TP53	HMGB1	9472015, 11748221, 11106654	PINA
P04637	P67870	TP53	CSNK2B	10214938	PINA
P04637	Q7LG56	TP53	RRM2B	19015526, 12615712	PINA
P04637	P38646	TP53	HSPA9	20153329, 17184779, 11900485	PINA
P04637	P67809	TP53	YBX1	11175333, 15136035	PINA
O00232	P01241	PSMD12	GH1	17353931	PINA
P04637	Q8NC51	TP53	SERBP1	16455055	PINA
P04637	Q9UER7	TP53	DAXX	15364927, 16845383, 14557665, 12954772	PINA
P04637	P67775	TP53	PPP2CA	12556559	PINA
P04637	P62328	TP53	TMSB4X	16169070	PINA
P04637	P16220	TP53	CREB1	10848610	PINA
P04637	P23297	TP53	S100A1	20591429	PINA
P04637	P16104	TP53	H2AFX	16322227	PINA
P04637	P55199	TP53	ELL	10358050	PINA
Q969T9	Q96QZ7	WBP2	MAGI1	9169421	PINA
P04637	P16083	TP53	NQO2	17545619	PINA
O95571	P04637	ETHE1	TP53	17353187	PINA
P04637	Q9UHC7	TP53	MKRN1	10.1038/emboj.2009.164	PINA
O95997	P04637	PTTG1	TP53	12355087	PINA
P01241	Q13617	GH1	CUL2	17353931	PINA
P01241	Q96DZ1	GH1	ERLEC1	17353931	PINA
P04637	P55209	TP53	NAP1L1	14966293	PINA
P04637	P23511	TP53	NFYA	16959611, 15831478	PINA
P04637	Q9UK53	TP53	ING1	19085961, 9440695, 12208736	PINA
P01241	Q96FW1	GH1	OTUB1	17353931	PINA
P04637	Q8WYH8	TP53	ING5	12750254, 17954561	PINA
P04637	Q86TM6	TP53	SYVN1	17170702	PINA
P04637	P55060	TP53	CSE1L	17719542	PINA
P04637	P46821	TP53	MAP1B	18656471	PINA
P04637	Q99816	TP53	TSG101	11172000	PINA
P04637	Q99856	TP53	ARID3A	12136662	PINA
P04637	Q99873	TP53	PRMT1	15186775	PINA
